Link,Title,Content,cluster
https://www.herald.co.zw/sa-e-passports-start-this-week/,SA e-passports start this week,"Blessings Chidakwa Herald Reporter Zimbabwe starts processing e-passports at its embassy in South Africa this week, with officers from the Registrar General’s department being deployed to assist consulate staff. As the Government continues to make strides in making civic documents readily available and easy to access, the Foreign Affairs and International Trade Ministry has completed the setting up of the e-passport processing centre in Johannesburg. Plans are afoot to open five more e-passport offices abroad, including in the United Kingdom, the United Arab Emirates and the US. The Second Republic is walking the talk on bringing services closer to the people, locally and abroad. In an interview, Permanent Secretary for Home Affairs and Cultural Heritage, Ambassador Raphael Faranisi, said all was in place to start the issue of e-passports in South Africa from this week. “Staff from the registrar’s office will this week be travelling to our South African Embassy to train the consulate staff on how to process e-passports. “The Foreign Affairs and International Trade Ministry was doing renovations at the consulate, but it is now complete. So, this week, while training the consulate staff, they will also be issuing the e-passports.” Within two weeks, issuing e-passports would be in full swing. Ministers of Foreign Affairs and International Trade and of Home Affairs and Cultural Heritage will officially commission the office on a date to be announced. The Government has opened several e-passport centres countrywide including in Guruve, Gwanda, Gweru, Lupane, Marondera, Beitbridge, Chitungwiza, Hwange, Mazowe, Murehwa, Zvishavane, Chinhoyi and Guruve, to add to the facilities at Chiwashira Muchecheterwa Building in Harare and at provincial and district offices in Bulawayo. Issuance of e-passports began on January 18 2022, as the civil registry department took heed of the Government’s directive to smoothen the process of acquiring travel documents, which, until then, was a nightmare for many people. The launch of the e-passport and the state-of-the-art passport enrolment centre, is in line with the Government’s vision of a modern and digitised economy. Strategic investment in key areas of the digital economy is seen as a critical way for Zimbabwe to keep pace with the dynamic and technological environment. ",0
https://www.chronicle.co.zw/foreign-investors-to-easily-repatriate-funds-government/,Foreign investors to easily repatriate funds: Government,"Prosper Ndlovu, Business Editor
THE Reserve Bank of Zimbabwe (RBZ) will soon issue a directive to facilitate smooth repatriation of capital and dividends by foreign investors, which will buttress the ease of doing business in the country. Treasury is pushing the matter in response to investor concerns over the country’s exchange and capital controls, which are perceived to be a stumbling block to attracting foreign direct investment. Finance and Economic Development Minister, Professor Mthuli Ncube told a recent virtual market analyst briefing on the establishment of the Victoria Falls Stock Exchange (VFEX) that the challenge of repatriating funds was being addressed following lengthy discussions with the Zimbabwe Stock Exchange (ZSE) executives and the RBZ. He said the framework, to be soon tabled by the Central Bank, will also give impetus to the successful operationalisation of an offshore capital market in the form of VFEX, a wholly-owned subsidiary of the ZSE. The minister was responding to sub-Saharan Africa economist at Renaissance Capital, Yvonne Mhango, who said the difficulty in repatriating funds was a big investor concern that Zimbabwe needs to urgently resolve. “It makes sense initially to make our central bank, the Reserve Bank of Zimbabwe, involved more directly in the settlement process. That is being fine-tuned and that will be the case, the reason being to deal directly with what Yvonne raised,” said Prof Ncube. “We want guarantees that there will be full conversion and there is commitment from the Government and RBZ that the foreign currency will be made available. “That’s why we want RBZ to be involved initially (at VFEX) but over time other banks with strong balance sheets and skills would also be involved.” Given that VFEX will be denominated in the United States dollar, investors are keen to get guarantees on the ease to repatriate their dividends unlike what is happening on ZSE now, said Mhango. ZSE chief executive officer, Mr Justin Bgoni, who also attended the webinar, concurred with Prof Ncube. “This is one of the areas where we have put in a lot of work on, especially with the Central Bank. Shortly the central bank will be issuing out a directive that will address a lot of these concerns including how investment can be done on the exchange,” he said. “A lot of that will be very clear, it would be easy for foreign investors to come in and go out. Without disclosing much because we are finalising the discussion with the reserve bank, what I can promise is that the Reserve bank has been very forthcoming, they understand this concern and the directive that will come will be very clear. “I can promise it will be easy for investors to come in and easy for them to repatriate funds.” VFEX was recently issued with a licence and would be denominated in foreign currency. It targets foreign investors as well as global capital markets especially the mining industry. Government is already engaged in ongoing discussions with several international investment financiers to support VFEX that will trade exclusively in foreign currency. ",0
https://www.newsday.co.zw/business/article/200026356/econet-in-a-remittance-first-for-zimbabwe,"
                     Econet in a remittance first for Zimbabwe
                    ","Zimbabwe’s largest telecommunications and technology company, Econet Wireless, has achieved an Africa first by opening two free remittance corridors into the country, completely eliminating the cost to both sender and receiver. Econet has partnered with its sister company, Sasai Money Transfer, to enable individuals and companies in the United Kingdom and South Africa to send money into Zimbabwe free of charge, starting today (May 2, 2024). The receiver also cashes out of their EcoCash wallet for free.  International remittances attract a charge of up to 15% for the sender, while the receiver is charged 3% when cashing-out.  Econet Wireless Zimbabwe chief executive, Douglas Mboweni explained that the latest decision is aimed at helping Zimbabweans to weather the acute challenges caused by the drought.  The country recently declared a national disaster over a drought caused by the climate event known as El Niño, which has left more than 2.7 million people in need of food aid.  “We hope Zimbabweans in the Diaspora will use the savings to send more money home to their families,” Mboweni said.  “The majority of remittances to Zimbabwe are conducted through these two main corridors (the UK and South Africa). We don’t have to pay any third parties on those corridors, because we rely on a sister company in the group, which agreed to help out,” he said. He said he hopes the move by Econet will encourage other companies facilitating remittances into Zimbabwe to reduce their fees, noting that it was time that remittances into Africa in general were brought down “to assist with the continent’s economic development agenda”.  Mboweni  added  that the initiative was in support of government efforts to increase diaspora remittances coming into the country through formal channels. Econet's extensive EcoCash agent network ensures that even people in remote rural areas have access to low-cost financial services, reducing the need for recipients to travel long distances to collect cash. Econet said Remittance transfers will be facilitated through the EcoCash US dollar wallet, which is accessible by dialling *153# on an EcoCash registered Econet line.  Senders in the UK and South Africa can access Sasai Money Transfer by downloading the Sasai Money Transfer App on the Google Play Store and on the App Store. ",0
https://www.newsday.co.zw/business/article/200026376/watch-zig-closely-fews-net,"
                     Watch ZiG closely: Fews Net
                    ","FOOD security initiative, the Famine Early Warning Systems Network (Fews Net), says the Zimbabwe Gold (ZiG) currency will have to be tracked regularly to see its sustainability, amid worsening living conditions. Last month saw the introduction of the ZiG, replacing the battered Zimdollar that had experienced a sharp depreciation. In its latest food security update for April, Fews Net said households were expected to increase their reliance on coping strategies to meet their food needs due to the poor harvest and inflation. This comes as Zimbabwe’s 2023/24 agricultural season is in the midst of suffering from the El Niño-induced drought, leading to a state of national disaster being declared on April 3, last month. “On April 5, the Reserve Bank of Zimbabwe introduced a new local currency, the Zimbabwe Gold. The structured currency, which is said to be backed by gold and other precious minerals and foreign currency reserves, was pegged at 1 ZiG to ZWL$2 499 (previous currency) and 13,56 ZiG to US$1 when launched,” Fews Net said. “By mid-April, electronic and mobile money platforms had adjusted to the new currency, while ZiG notes and coins became available from April 30. It will be critical to continue monitoring the markets following the establishment of a new currency.” The uncertainty of ZiG has caused businesses and retailers to offer different forex exchange rates ranging from US$1:ZiG14 to ZiG16. Officially, the forex rate is US$1:ZiG13,43. Fews Net noted how the Zimbabwe National Statistics Agency had started a new data series for monitoring the poverty datum lines using the ZiG. The national average Food Poverty Datum Line per person per month for April was assessed to be ZiG425 and the average total consumption poverty line at ZiG650. Fews Net said the increased reliance on coping strategies by households will be driven by the poor harvest, limited seasonal agricultural labour opportunities, and high food prices. This is expected to drive area-level crisis outcomes in typical deficit-producing areas in the south, east, west, and extreme north into the post-harvest period. “In typical surplus-producing parts of the Mashonaland provinces and other areas, stressed (IPC Phase 2) area-level outcomes are anticipated to emerge as the poor harvest, limited crop sales and increased competition for income-earning opportunities affect household purchasing power, with some poor households likely to engage in coping strategies indicative of crisis (IPC Phase 3) to meet their food needs,” Fews Net said. ",0
https://www.newsday.co.zw/business/article/200026572/govt-introduces-fresh-tax-to-keep-forex-inland,"
                     Govt introduces fresh tax to keep forex inland
                    ","FINANCE minister Mthuli Ncube says government will tax US$0,02 for every US$1 leaving the country to ensure forex availability locally, as the State desperately tries to protect the Zimbabwe Gold (ZiG) currency introduced a few weeks ago. For years, the formal financial institutions’ foreign currency supply has been dwindling despite central bank estimating that there was potentially US$2,5 billion unbanked in the economy. In Statutory Instrument (SI) 80 of 2024 published in the Extraordinary Government Gazette dated May 3, 2024, government will retain US$0,02 for every US$1 leaving the country. These changes were made under the Finance Act whereby the Finance Amendment of Sections 22B and 22G Regulations, 2024, introduces changes to the automated financial transactions tax and the intermediated money transfer tax (IMTT). “Section 36G (2) of the Taxes Act shall be calculated at the rate US$0,02 on every dollar of every outbound foreign payment or part thereof for each transaction on which the tax is payable,” Ncube said in the SI. The move is most likely to affect local industry importing raw materials and foreign headquartered businesses operating locally, who are remitting back to their respective countries. Also, the new measure will affect outbound remittances and those who transact online with businesses not domiciled in Zimbabwe. Such a move will likely add to the already high cost structure of businesses and further pile inflationary pressure on the economy. Ncube also introduced new charges for withdrawing ZiG and on local currency transactions. “It is hereby notified that the Finance, Economic Development and Investment Promotion minister has, in terms of Section 3 of the Finance Act [Chapter 23:041, made the following regulations: These regulations may be cited as the Finance (Amendment of Sections 22B and 22G) Regulations, 2024 Amendment of Section 22B,” he said. “Section 22B (‘Automated Financial Transactions Tax’) is amended by the repeal of Section 22B(a) and substitution with the following: For each withdrawal above the local currency equivalent of US$100, a regional currency equivalent of US$0,05.” will be charged. Regarding the IMTT, this will be calculated at a rate of 0,02 on every ZiG transaction or part thereof transacted for each transaction on which the tax is payable. “Provided that if a single transaction on which the tax is payable is equivalent to or exceeds the equivalent in Zimbabwe Gold [ZiG] of US$500 000 (at the prevailing interbank rate) a flat intermediated money transfer tax of the equivalent in Zimbabwe Gold [ZiG] of US$10 150 (at the prevailing interbank rate) shall be chargeable on such transaction,” Ncube continued. The SI stated that Section 36G(2) of the Taxes Act shall be calculated at the rate of 0,02 on every US dollar or part thereof for each transaction on which the tax is payable. “Provided that if a single transaction on which the tax is payable is equivalent to or exceeds US$500 000 a flat intermediated money transfer tax of US$10 150 shall be chargeable on such transaction,” Ncube added. A charge of 0,02 was also levied on every Zimbabwe-gold-backed digital token or part thereof transacted for each transaction on which the tax is payable. ",0
https://www.newsday.co.zw/business/article/200026610/econet-says-it-wants-to-make-all-remittances-into-zimbabwe-free,"
                     Econet says it wants to make all remittances into Zimbabwe free
                    ","Econet Wireless Zimbabwe, the country’s largest telecommunications and technology company, says its decision to make remittances from United Kingdom and South Africa free has been well received and should remain in force “for the foreseeable future”.  Econet’s group chief executive, Douglas Mboweni, said the initiative would remain in place for some time, adding that the company was in fact exploring ways of expanding the free remittance initiative to other routes, such as the United States, Europe and Middle East. “The initiative will continue for the foreseeable future. We are now actually working on expanding the free remittances to Zimbabwe to other source markets, such as the US, Europe and Middle East, so that Zimbabweans with friends and family in those regions can also benefit from our offer,” Mboweni said. “However, our group currently does not have licenses that allow us to extend the service to all markets at this time. But we are busy looking at how we can do that,“ he said. Last week Econet achieved an Africa first by opening free remittance corridors that completely eliminate the cost for remittances from the UK and South Africa into Zimbabwe. This followed the company partnering with its sister company, Sasai Money Transfer, to enable individuals and companies in the United Kingdom and South Africa to send money into Zimbabwe free of charge, with the receiver cashing out of their EcoCash US dollar wallet for free. Dr Mboweni said the market reaction to the initiative had been very positive, adding that he expected many people to start channelling remittances via Ecocash. He said there were virtually no minimum limits to how little one can send at any given time. “If someone from the UK wants to send $5 to someone in Zimbabwe, it’s ok with us. We can handle small or large amounts and it’s done in an instant.” “We believe EcoCash’s extensive network, already in use for domestic USD transfers around the country, and in particular in the rural areas, will be key in providing convenience to people in remote villages and districts to access their funds,” Mboweni said. Last week Mboweni explained that the decision to offer free remittances had been motivated by the desire to help Zimbabweans weather the challenges caused by drought.  The country recently declared a national disaster over a drought caused by the climate event known as El Niño, which has left more than 2.7 million people in need of food aid.  Some analysts and experts have urged the government to take advantage of the intermediation role of Ecocash to allow ZiG cash-in and cash-out, thereby building confidence in the new currency. ",0
https://www.newsday.co.zw/business/article/200026667/zig-brought-more-misery-for-consumers-ccz,"
                     ZiG brought more misery for consumers: CCZ
                    ","THE Consumer Council of Zimbabwe (CCZ) says the Zimbabwe Gold (ZiG) currency has brought more “challenges” for consumers than those they faced prior to its introduction, because people are failing to use the new currency outside the formal retail sector. ZiG was introduced last month to replace the Zimbabwe dollar, but the new currency has faced public resistance, especially from commuter transport operators, making life difficult for consumers. “As the Consumer Council of Zimbabwe, we were delighted when we heard that we are going to have a currency backed by gold reserves being announced by the governor of the Reserve Bank of Zimbabwe,” CCZ chief executive officer Rosemary Mpofu told NewsDay Business in an interview. “We were very excited because we heard the country had enough gold to back the new Zimbabwe Gold currency. We very much believed that when the currency is backed by gold and other commodities, it would give more value to our currency.” She said they believed that the money would give people more buying power like such other currencies as the South African Rand, Botswana Pula and the United States dollars. “With that being said, as consumers, we are facing several challenges, which has resulted in us failing to easily accept the new currency,” Mpofu said. “These challenges have greatly impacted the acceptance of the new local currency by consumers in the country. It seems the new currency has brought us more challenges than those we faced before the introduction of the Zimbabwe Gold currency.” Mpofu noted that commuter operators were not eager to accept the new currency and were charging the public double the normal price because they cannot provide change. “When boarding public transport on our everyday normal routes, we see that the same route that we used to travel using US$0,50, we are being charged US$1 because of change challenges,” she said. “Sometimes we are forced to buy things that we do not want just for us not to leave our money with public transport operators. The same route that I used to travel using US$1, to and from, the price has doubled.” She also complained about how consumers were failing to buy fuel using the new currency despite the Zimbabwe Energy Regulatory Authority (Zera) announcing fuel prices in ZiG. “Moreover, when it comes to fuel in the country, it was announced recently that consumers are now able to buy fuel in local currency and Zera announced the ZiG prices for fuel. However, we have not seen any fuel station that is accepting ZiG in exchange for fuel. We did a survey and also consulted with Zera and we discovered that so far, no fuel station is accepting ZiG,” she noted. Mpofu also expressed her worry that service providers were rejecting the new currency, while others were still manipulating the exchange rate. “Another challenge is emanating from schools. Several schools are rejecting the payment of fees using the new currency only accepting the US dollar. Where else are we going to use the ZiG currency? “So far, the only place we can use the ZiG currency is in the supermarkets. Why are the service providers rejecting the ZiG currency?” she quizzed. “Another pressing issue is that of the exchange rate. We were told by the central bank that the rate will be at US$1: ZiG13,56 with an allowance of service providers to have a margin of up to ZiG14 according to statutory instrument 118. “However, we are seeing some charging with rates as high as US$1: ZiG21. We need to know what RBZ [Reserve Bank of Zimbabwe] and the FIU [Financial Intelligence Unit] are doing to deal with this.” She urged the authorities to address these pressing issues and restore confidence in the new currency. “So as CCZ, these are some of the challenges that consumers are facing, and on behalf of the consumers, can the authorities look into these issues to bring confidence in this currency?” she queried. “They need to make sure that all businesses comply with the set exchange rate because they are the ones destabilising the new currency. Moreover, the authorities should continue dealing with the black market and should continue to arrest all the culprits. “Without addressing these issues, we are going to miss the target of reaching an upper middle-income economy by 2030,” she added.   ",0
https://www.newsday.co.zw/opinion-analysis/article/200026335/zig-will-stand-or-fall-on-public-trust-nothing-else,"
                     ZiG will stand or fall on public trust, nothing else
                    ","THE manner in which the government introduced the new currency, Zimbabwe Gold (ZiG), is proof that little or nothing has been learnt from previous similar experiences. Zimbabweans are still traumatised by the destruction of wealth that was caused by five other attempts to rein in galloping inflation including the introduction of bearer cheques and bond notes. At the time of writing the black market was setting the pace, which is partly a reflection of the public’s mistrust of government. A course correction, in communication and confidence building measures, is required to avoid further currency weakening. To assuage the traumatised public all tools of moral suasion should have been deployed to get buy-in from all stakeholders before and after the launch. Pointing out that ZiG is backed by gold does not explain why bond notes that were supposedly backed by a US$200 million Afreximbank bond facility failed dismally. The recent threats made by government officials, betray lack of faith in gold’s ability to back the new currency. Force, a trusted weapon, is being summoned to back ZiG. The arrest of black-market currency dealers is proof that there is a chink in this strategy. It does not help that there is suspicion that currency traders represent the politically connected.  The one element that has sustained money since ancient times is trust. From the days when human beings used cowrie shells, then grain and livestock in exchange for goods and services, trust has been the bedrock upon which money stands.  Money, as Yuval Noah Harari (Sapiens) and Jacob Goldstein (Money) argue in their books, is a fiction whose value is sustained by our common imagination. “In other words, money isn’t a material reality — it is a psychological construct,” argues Harari in his seminal book. Harari continues: “Money is not coins and bank notes. Money is anything that people are willing to use in order to represent systematically the value of other things for the purpose of exchanging goods and services.” Only 8% of the world’s money exists in notes and coins. The bulk of it exists only in computer servers. It is trust that binds this fiction together. For this social construct and fiction to hold all stakeholders must willingly go along. The fiction is sustained by general consent and never by decree. In our environment where confidence in government is non-existent trust is actually a currency. Since the launch of ZiG both the RBZ and government have done little to promote this currency. For instance, ZiG notes and coins came into circulation on Tuesday April 30, and yet no visible promotion had been rolled out. Persuading people accustomed to using the greenback to adopt a local currency after dollarisation is a Herculean task. International Monetary Fund data indicates that there have only been two countries that have successfully de-dollarised, namely Israel and Poland. Zimbabwe is following the script of all countries that failed to de-dollarise, namely, “administrative enforcements without fully restoring confidence in the local currency or eliminating the underlying instability that led to dollarisation in the first place.” The trust chasm between the government and the public is humongous largely because of government’s dismal track record. There are other questions that have layered this mistrust, namely the elephant in the room pointed out by ex-RBZ governor Gideon Gono. The RBZ has no autonomy and it is hard to dismiss the suspicion that the President has unfettered access to national coffers. Chris Mutsvangwa’s allegation that gold was stolen from RBZ vaults during the late former President Robert Mugabe’s era was inopportune. Having the President’s son as deputy Finance minister erodes public trust. The RBZ Act says the “governor is appointed by the President after consultation with the minister.” The optics are just not right. Also, the statutory instruments recently enacted to shield parastatals from public scrutiny undermine public trust in our financial governance.   To show full confidence in ZiG all government departments, including local government should conduct transactions in the local currency. Taxes should also be paid 100% in ZiG. It is impossible to overstate the importance of a stable local currency to undergird a vibrant economy, sovereignty and national pride. It is crucial that ZiG earns public trust and be widely used. For this to happen, government and the central bank must solicit public trust through their words and actions. ",0
https://www.newsday.co.zw/opinion-analysis/article/200026606/zig-is-yet-another-infernal-nuisance,"
                     ZiG is yet another infernal nuisance
                    ","GOOD day, President Emmerson Mnangagwa. Your Excellency, my conscience affirms that the Zimbabwe Gold (ZiG) is yet another infernal nuisance. As I see it, it is deficient, devoid of the core fundamentals of a propitious currency. Truly, ZiG is not an economic eureka. It is burdened by a credibility crisis. Like the buffalo soldier Bob Marley sang about, who fought for survival on arrival, ZiG was never destined to have it easy. Henceforth its introduction was shrouded in mistrust due to Zimbabwe being a commonly loathed black sheep regionally and far beyond. Hence, your 2018 application to rejoin the Commonwealth is still pending. Your Excellency, Zimbabwe has accumulated massive negative returns because of its propensity to hold harmonised elections that fail the credibility test. Notwithstanding the punitive sanctions that were recently imposed on you by the United States government, indeed, your government has an onerous credibility deficit. There is a cost to a government in the hands of a ruling elite of low reputation. It cannot evade censure for attaining power illegitimately and for not being respectful of human rights. The fact that ZiG is backed by gold and other precious minerals, however, does not suffice to build confidence. It failed to set forth sighs of relief that are ordinarily expected as a welcome to a currency that is billed as being backed by gold and other precious minerals. It is a verity that Zimbabwe is bequeathed with an abundance of minerals, ranging from gold, diamonds to many others. It actually takes a geologist, of which I am not one, to roll call the deposits of mineral treasures which, all things being equal, could sufficiently back the ZiG. Yet, besides the abundance, citizenry is not convinced that the said reserves of natural resources are available in requisite quantities to back ZiG. Given that there were grey areas with regards to the quantities of gold that were in the vaults at the Reserve Bank of Zimbabwe (RBZ), during your recent inspection visit, a dearth of trust was pronounced. Consequently, ZiG is yet another infernal nuisance. It is apparent that citizenry regards the notion of ZiG being backed by gold and other precious minerals with not only suspicion, but also askance and disdain. Your Excellency, citizenry remembers well the gold corruption exposé investigative documentary, Gold Mafia. It was an antithesis of accountability and transparency that government retaliated by unleashing tirades on the news channel that compiled the document. And, government went on to renege on its promise to investigate the corruption allegations that were raised in the documentary. Prior to that, the late former President Robert Mugabe alleged that US$15 billion worth of diamonds had fallen into corrupt hands in Chiyadzwa. Yet again, no investigations were carried out. With ZiG coming as it does on the backdrop of apprehensions due to previous collapsed currencies and corruption, it is inevitably struggling for acceptance. Indeed, citizenry is sceptical about ZiG, through and through. Your Excellency, Zimbabwe has an unsavoury reputation for introducing new currencies now and then. Since independence, failed currencies have been your government’s Achilles heel. All successive currencies failed to hold their own. Now, as ZiG replaces the Zimdollar that progressively lost value henceforth your reintroducing it in 2019, from where I stand, ZiG is not an economic eureka. I reckon the vendor who said she would rather lose a sale than accept ZiG stated with exactitude the magnitude of the disapproval rating of the new currency. Its a yawning deficit of confidence and credibility which is commensurate with the reputation of your government. Verily, the introduction of ZiG ought to have set alight a flaming euphoria that could have generated anticipation and acceptance of the currency if the fundamentals were correct. Yet, that has not been the case as the ZiG’s launch was as a dull as the recitation of platitudes. Your Excellency, ZiG is shrouded in a plethora of credibility and legitimacy crisis. Methinks citizenry is of the conviction that ZiG is by no means the long anticipated economic eureka. Given the magnitude of mistrust in government, duly, ZiG inevitably suffers a likewise fate. It, therefore, needed skilful communicators to execute its launch. Yet, with all due respect, it is the irony of a national launch of the new currency that the crew that is spearheading the ZiG introduction does not exhibit a thing or two about public relations. They have hardly shown themselves as congenial and credible. With all due respect, they are not given to persuasion. It is small wonder that their wooden approach can be attributed to ZiG being overtly regarded as yet another infernal nuisance. There is a gulf of credibility deficit that yearns to be bridged. Consequently, the engagement of articulate communicators ought not have been foregone. As I see it, the failure of ZiG to excite citizenry could have been minimised had the launch been planned diligently. It is my studied evaluation that the RBZ governor John Mushayavanhu ought to gather and bundle himself neatly. He has to add communication mastery to his remarkable professional faculties. Otherwise, the inevitable history of failed currencies will be perpetuated under his watch. His contradictory statements are detrimental to building of confidence and acceptance of ZiG. Considering that he sits at the pole of the apex bank, truly, probity warrants him to invest in acquiring communication proficiencies. He must be an accomplished communicator whose concise statements are ethical and renowned for clarity of thought and credibility. It is of paramount importance that he be admirably conclusive, coherent and convincing in his communication. His backtracking on the conceptualisation of ZiG after the World Bank clarification of the bounds of its consultancy role, is detrimental to his reputation as the incumbent RBZ governor. Your Excellency, be that as it may, forsooth, ZiG is yet another infernal nuisance. ",0
https://www.herald.co.zw/nigeria-denies-binance-bribery-claims/,Nigeria denies Binance bribery claims,"The Nigerian government has denied allegations of soliciting bribes from Binance amid tax evasion and money laundering charges against the cryptocurrency platform.  CEO of Binance, revealed on Tuesday that unidentified individuals in Nigeria requested roughly US$150 million in cryptocurrency payments within 48 hours to resolve the platform’s ongoing case in the country. The government asserted that Binance’s allegation is an endeavour by the cryptocurrency exchange to cleanse its tarnished reputation.  Richard Teng, CEO of Binance, revealed on Tuesday that unidentified individuals in Nigeria requested roughly US$150 million in cryptocurrency payments within 48 hours to resolve the platform’s ongoing case in the country. Teng’s accusation followed the detention of Nadeem Anjarwalla, Binance’s regional manager for Africa, and Tigran Gambaryan, the company’s head of financial crime compliance, in Nigeria on February 28th. The two executives were detained as part of an investigation related to Binance’s alleged illegal operations in Nigeria and accusations of foreign exchange rate manipulations. According to a statement by Rabiu Ibrahim, special assistant to the minister of information and national orientation, Binance’s allegation is an endeavour by the cryptocurrency exchange to cleanse its tarnished reputation as an entity that disregards the regulations and laws governing business conduct in sovereign nations. -Business Insider Africa ",0
